"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","mean_score","high_risk_violations","interval"
"10","Tiramisu Kitchen","H24",37.791116,-122.403816,4,3,0,7,0.75,95.5,0,282.333333333333
"1000","HEUNG YUEN RESTAURANT","H24",37.755282,-122.420493,5,5,1,11,1,75.4,1.8,216.25
"10011","Osha Thai Noodle","H25",37.759943,-122.421332,6,4,1,11,0.666666666666667,92,0.666666666666667,176.4
"1002","BIG MOUTH BURGERS","H24",37.752158,-122.420362,4,7,0,11,1.75,86.75,0.75,247
"1003","RINCON PERUANO RESTAURANT","H24",37.749128,-122.417402,4,0,0,4,0,93.5,0,246.666666666667
"1005","CHAVITA'S MEXICAN RESTAURANT","H24",37.748855,-122.418134,4,5,0,9,1.25,84,1,235
"1008","VALENCIA PIZZA & PASTA","H24",37.759944,-122.421356,6,4,1,11,0.666666666666667,93.6666666666667,0.666666666666667,176.4
"10083","Morning Brew Cafe","H24",37.794024,-122.401299,4,4,0,8,1,90,0,247
"10099","ROE RESTAURANT","H26",37.785817,-122.399422,3,0,0,3,0,95.3333333333333,0,333.5
"101","Cable Car Corner","H24",37.794615,-122.409705,4,0,0,4,0,97,0,321.666666666667
"10102","BODEGA BISTRO","H26",37.783533,-122.417603,3,8,4,15,2.66666666666667,75.6666666666667,1.66666666666667,415.5
"10127","AMICI'S EAST COAST PIZZERIA","H26",37.777803,-122.392489,6,0,0,6,0,99.3333333333333,0,210.2
"10131","Cybelle's Front Room","H25",37.758941,-122.48591,4,3,0,7,0.75,85,1,289.333333333333
"10170","Piaza Pellegrini","H25",37.800851,-122.411062,5,5,2,12,1,76.6,0.8,219.5
"1018","PETES BARBEQUE","H24",37.758684,-122.418975,5,3,0,8,0.6,95.8,0.2,183.25
"102","Akiko's Sushi Bar","H24",37.788484,-122.410045,5,5,0,10,1,92.6,0.2,225.25
"1021","LA SANTANECA DE LA MISSION","H24",37.751885,-122.418406,5,4,0,9,0.8,90.8,0.8,216.5
"10213","San Francisco Crepe Co","H24",37.788087,-122.420094,2,2,0,4,1,83,1,497
"1022","DAK WIN RESTAURANT","H24",37.751454,-122.418356,5,8,1,14,1.6,77.4,1.4,213
"10227","The Napper Tandy","H25",37.752581,-122.416482,4,4,0,8,1,87,0.5,263
"10238","King of Thai Noodle House","H25",37.786498,-122.407764,6,4,3,13,0.666666666666667,81.1666666666667,0.5,175
"1026","PHUKET THAI RESTAURANT","H24",37.771117,-122.436976,3,0,0,3,0,92.6666666666667,0,406.5
"1027","KK CAFE","H24",37.771487,-122.437047,3,1,0,4,0.333333333333333,91.3333333333333,0,364
"1031","IL BORGO","H24",37.775538,-122.426264,6,0,0,6,0,91.5,0.333333333333333,173.8
"1036","ALAMO SQUARE","H24",37.776944,-122.431444,4,2,0,6,0.5,83,0.5,264
"10362","Crossroads","H26",37.775117,-122.452065,5,1,1,7,0.2,94,0,185.5
"10363","Brindisi","H25",37.791733,-122.403787,4,4,0,8,1,93.5,0,282.333333333333
"10376","Good Frikin Chicken","H25",37.744369,-122.420967,5,1,1,7,0.2,94.4,0,222
"1038","GO GETTERS PIZZA","H24",37.773342,-122.422283,3,1,1,5,0.333333333333333,91.3333333333333,0,280
"104","Ino Sushi","H24",37.785018,-122.429587,3,0,0,3,0,98,0,396.5
"1040","CUCO'S RESTAURANT","H24",37.772178,-122.430234,3,1,1,5,0.333333333333333,96.6666666666667,0,405.5
"1042","LOVE 'N HAIGHT COFFEE & DELI","H24",37.771964,-122.431336,4,1,0,5,0.25,89.5,0,272
"1043","CENTRAL COFFEE TEA & SPICE","H24",37.774198,-122.444214,5,3,0,8,0.6,94.6,0.2,197.5
"10433","Cafe La Taza","H24",37.788128,-122.409705,5,7,0,12,1.4,90.8,0.4,229.25
"10438","Piraat Pizza","H24",37.788858,-122.411754,5,4,0,9,0.8,89.6,0.4,231.25
"1047","PORK STORE CAFE","H24",37.770063,-122.446247,4,6,2,12,1.5,89.25,0.25,287.666666666667
"10470","Real Foods","H26",37.797848,-122.435607,4,3,0,7,0.75,84.5,0.5,293
"1048","CREPE EXPRESS","H24",37.770068,-122.446644,5,3,0,8,0.6,91.8,0.2,233
"10540","Slanted Door Restaurant","H26",37.795225,-122.39377,4,4,2,10,1,85.25,0.75,336
"1060","BEAN THERE COFFEE & TEA","H24",37.771123,-122.431953,4,1,0,5,0.25,93.5,0,273
"10615","Rulli Risto-Bar","H26",37.800188,-122.441454,5,1,0,6,0.2,95.2,0,210
"10625","Boxed Foods Company","H24",37.790453,-122.403994,4,5,0,9,1.25,89.25,0.25,277.666666666667
"1065","UNIVERSAL CAFE","H24",37.760487,-122.410662,4,3,0,7,0.75,91,0.5,259.333333333333
"10668","A16","H26",37.800043,-122.442097,4,2,0,6,0.5,92.75,0.25,249.666666666667
"1075","SANDWICH PLACE, THE","H24",37.764384,-122.419566,5,4,1,10,0.8,88,0.8,197.75
"108","Rue Lepic","H24",37.790868,-122.410854,3,1,0,4,0.333333333333333,86.6666666666667,0.666666666666667,326
"1081","ARINELL PIZZA","H24",37.764744,-122.421803,6,3,3,12,0.5,96.6666666666667,0,174
"1085","STARBUCKS COFFEE #9219","H24",37.792037,-122.397852,5,0,0,5,0,95,0.2,226.5
"10875","BLUE JAY","H25",37.778194,-122.438474,4,4,0,8,1,91.5,0.5,235.333333333333
"10876","ERNESTO'S","H25",37.782033,-122.483969,4,1,4,9,0.25,93.5,0,269.333333333333
"10877","CHINA FIRST INC.","H25",37.783038,-122.462982,3,1,0,4,0.333333333333333,90,0,302
"10886","Taste of Formosa","H26",37.782018,-122.485421,3,1,0,4,0.333333333333333,88.3333333333333,0.333333333333333,377.5
"1090","Tricolore Caffe' and Pizzeria","H24",37.795614,-122.403104,3,4,0,7,1.33333333333333,94.6666666666667,0,348.5
"1091","Les Croissant","H24",37.793716,-122.396398,4,2,0,6,0.5,94.25,0.25,267.666666666667
"1093","Young's BBQ","H24",37.763335,-122.422094,6,4,0,10,0.666666666666667,87.8333333333333,1.16666666666667,163
